,statute_code,charge_descriptions,charge_class,charge_label,Reason
590,BR.12.301.(a),['PRECIOUS MTLS REQ. RECORDS'],['Misdemeanor'],Ineligible,
591,27.7,['Arson Second Degree'],['Felony Circuit Court'],Ineligible,
592,CR.4.405.(a),"['Machine Gun Aggressive & Offensive Purpose/Not Registered'
 'Machine Gun Aggressive']",['Misdemeanor'],Ineligible,
594,27.440,['PERSONATE POLICE OFFICER' 'Personate Police Officer'],['Misdemeanor'],Ineligible,
597,CR 10 304(1),['RACE/RELIG CRIME: PERSON/GROUP'],['Misdemeanor'],Ineligible,
599,CR.9.402.(c),['HARBOR FELON/FUGITIVE' 'Harbor Felon/Fugitive'],[nan 'Misdemeanor'],Ineligible,
602,CR.9.101.(a)(2),['PERJURY/AFFID REQ BY LAW'],[nan 'Misdemeanor'],Ineligible,
603,27 -445 -D - -,"['REG FIREARM:ILLEGAL POSS (CJIS 5_5210)'
 'ILLEGAL POSSESSION OF REG FIREARM']",['Misdemeanor'],Ineligible,
607,CR.9.101(2),['Perjury: Affidavit Required By Law'],['Misdemeanor'],Ineligible,
616,27.446,['Regulated Firearm Stolen - Possess/Sell/Transfer/Dispose Of'],['Misdemeanor'],Ineligible,
617,CR 9-302(a),['INDUCE/INHIBIT TESTIMONY'],['Misdemeanor'],Ineligible,
620,CP.11-721,"['Sex Off Reg- Failure To Notify/Include- Employment'
 'SEX OFF REG-CHANGE RESIDENCE' 'Sex Off Reg-Change Residence'
 'SEX OFF REG-CHANGE ADDRESS' 'Sex Off Reg- Failure To Notify/Include'
 'Sex Off Reg-Change Address' 'SEX OFF REG-FAIL NOTIFY/INCLD']",['Misdemeanor'],Ineligible,
621,CR.3.503.(a)(i)(ii),['ABDUCT CHILD UNDER 12'],[nan 'Felony Circuit Court'],Ineligible,
622,2A0705,['ATT-ARMED ROBBERY'],['Misdemeanor'],Ineligible,
623,CR.2.503,"['Negligent Homicide Auto/Boat Under Influence'
 'Negligent Homicide Auto/Boat Under Influence Per Se']",['Felony Circuit Court'],Ineligible,
624,27.12,['RECKLESS ENDANGERMENT'],['Misdemeanor'],Ineligible,
625,27 -449 -E - -,['FIREARM-POSS W/FEL CONV (CJIS 2 2030)' 'FIREARM-POSS W/FEL CONV'],['Felony Circuit Court'],Ineligible,
630,CR.4.110,['RES FIREARM AMMO-CRM VIOLENCE'],['Misdemeanor'],Ineligible,
631,CR.3.605.(b)(1),"['VUL ADULT ABUSE/CUSTODIAN'
 'Abuse/Neglect Of A Vulnerable Adult-Custodian']",[nan 'Misdemeanor'],Ineligible,
634,CR 9-303,['RETALIATE - WITNESS'],['Misdemeanor'],Ineligible,
636,PS.5.143,"['REG FIREARM-UNLAWFUL STALE/TRA' 'Reg Firearm-Unlawful Sale/Trans'
 'REG FIREARM-UNLAWFUL SALE/TRAN' 'Reg Firearm-Unlawful Stale/Trans']",['Misdemeanor'],Ineligible,
640,CR.11.208.(a)(1)(2)(3),['Possess Child Pornography'],['Misdemeanor'],Ineligible,
641,27-349,"['UNAUTHORIZED USE - LIVESTOCK, MV, ETC'
 'Unauth Use Of Motor Vehicle(27-349)']",['Converted Degree' 'Misdemeanor'],Ineligible,
642,PS.5.144.a1,['REG FIREARM-UNLAWFUL SALE/TRANS' 'REG FIREARM-UNLAWFUL SALE/TRAN'],['Misdemeanor'],Ineligible,
643,27.411,['Murder-Second Degree'],['Felony Circuit Court'],Ineligible,
646,PS.5.140,['Transport Regulated Firearm Into State:Ill Sale-Trafficking'],['Misdemeanor'],Ineligible,
648,1-1425,['RECKLESS ENDANGERMENT'],['Misdemeanor'],Ineligible,
653,CR -4-101 -C-1 - -,['DEADLY WEAPON-CONCEAL (CJIS 1_5202)'],['Misdemeanor'],Ineligible,
656,3-204,['Reckless Endangerment(3-204)'],['Misdemeanor'],Ineligible,
657,PS.5.124.(a),"['Firearm Person:Sell/Rent & Transfer Before 7 Day Expiration'
 'FIREARM/SALE/PERSON']",['Misdemeanor' nan],Ineligible,
658,CR.11.303.(a)(1)(iv),['HUMAN TRAFFICKING - COMPENSATI'],['Misdemeanor'],Ineligible,
659,CR.3.211.(f),['LIFE THRT INJ/VEH-BOAT/CDS' 'Life Threatening Injury/Vehicle-Boat/Cds'],['Misdemeanor'],Ineligible,
665,PS.10.110.(a)(2),['FIREWORKS POSS. W/O PERMIT'],['Misdemeanor' nan],Ineligible,
666,27.138.(d),"['CONTRABAND POSS W/I DEL' 'CONTRABAND DELIVERY' 'Contraband Delivery'
 'Contraband Poss W/I Del']",['Misdemeanor'],Ineligible,
667,CP 5 213.1 (3),['VIOL REL COND-PERS ELIG RELIEF' 'Viol Rel Cond-Pers Elig Relief'],['Misdemeanor'],Ineligible,
674,27.470A,['RACE/RELIG HARAS: PERSON' 'RACE/RELIG PROP DAMAGE: INST'],['Misdemeanor'],Ineligible,
678,CR.9.402,['HARBOR/FLEEING FELON'],[nan 'Misdemeanor'],Ineligible,
681,3-402,['Robbery(3-402)'],['Felony Circuit Court'],Ineligible,
682,LE.8.1301,"['UNEMPL:FAIL DISC MAT FACT'
 'Unemployment Ins:Fail Disclose Material Fact'
 'UNEMPL: FAIL DISC MAT FACT']",[nan 'Misdemeanor'],Ineligible,
684,38A.16,"['FIREWORKS POSS. W/O PERMIT' 'FIREWORKS, POSSESSION']",['Misdemeanor'],Ineligible,
685,27.464,['Sexual Offense-1st Degree' 'Sex Offense First Degree'],['Felony Circuit Court'],Ineligible,
686,CR.3.605.(b)(2),"['Abuse/Neglect Of A Vulnerable Adult-Family Member'
 'VUL ADULT ABUSE/FAM. MEMBER']",['Misdemeanor' nan],Ineligible,
687,PS.5.143.(a)(2),['Knowingly Alter Firearm Id Number' 'KNOW ALTER FIREARM ID NUMBER'],['Misdemeanor'],Ineligible,
689,27 -137 - - -,"['FIRST DEGREE ESCAPE (CJIS 2 1010)'
 'ESCAPE/FIRST DEGREE CJIS Code: 2 1010'
 'FIRST DEGREE ESCAPE (CJIS 2 1015)' 'ESCAPE/FIRST DEGREE']",['Felony Circuit Court' 'Converted Degree'],Ineligible,
691,1-0692,['CDS-POSS OF FIREARMS'],['Felony Circuit Court'],Ineligible,
693,27.32,"['BREAK-W/INT TO COM FEL, ETC' 'Fourth Degree Burglary']",['Felony Circuit Court'],Ineligible,
694,27.137,"['ESCAPE - FIRST DEGREE' 'Escape - First Degree' 'Escape - Second Degree'
 'Second Degree Escape']",['Felony Circuit Court' 'Misdemeanor'],Ineligible,
695,CR.3.308 (c),['SEX OFFENSE FOURTH DEGREE' 'Sex Offense Fourth Degree'],['Misdemeanor'],Ineligible,
696,BR.17.1805,"['2 OR MORE STORES W/O LICNS'
 'FAIL TO DISPLAY A VALID MARYLAND SALES & USE TAX LICENSE WHILE CONDUCTING BUSINESS IN THE STATE']",['Misdemeanor' nan],Ineligible,
697,CR.3.308.(b)(3),['SEX OFF 4TH DEG-VAG INT 14/15' 'Sex Off 4th Deg-Vag Int 14/15 Years Old'],[nan 'Misdemeanor'],Ineligible,
698,CR.4.106,['WEAR BULLETPROOF ARMOR'],['Misdemeanor'],Ineligible,
703,4A3600,['ATT-SEX OFFENSE FOURTH DEGREE'],['Misdemeanor'],Ineligible,
704,3A3600,['ATT-SEX OFFENSE THIRD DEGREE'],['Misdemeanor'],Ineligible,
707,27 -445 - - -,"['PISTOL:ILLEGAL POSSESSION (CJIS 5 5210)'
 'PISTOL:ILLEGAL POSSESSION CJIS Code: 5 5210']",['Misdemeanor' 'Converted Degree'],Ineligible,
708,27.481C,['RIFLE/SHOTGUN:UNREGISTERED' 'Rifle/Shotgun:Unregistered'],['Misdemeanor'],Ineligible,
709,6-3600,['PERVERTED PRACTICE'],['Misdemeanor'],Ineligible,
710,CR -3-307 - - -,['SEX OFFENSE THIRD DEGREE (CJIS 3_3600)'],['Felony Circuit Court'],Ineligible,
711,27 -139C - - -,"['POSS. OF A DESTRUCTIVE DEVICE (CJIS 1 0720)'
 'POSSESS DESTRUCTIVE DEVICE (CJIS 1 0725)']",['Felony Circuit Court'],Ineligible,
714,CR.3.604.(b),['Vul Adult Abuse Physical Injury'],['Felony Circuit Court'],Ineligible,
716,CR.7.113.(a)(2),"['EMBEZZLE-MISAPPROPRIATE'
 'Embezzle-Misappropriate-Executor/Administrator/Guardian Etc']",[nan 'Misdemeanor'],Ineligible,
718,CR.3.601(b),['CHILD ABUSE-1ST: DEATH<13' 'Child Abuse-1st Deg: Death<13'],['Felony Circuit Court'],Ineligible,
720,2-2030,['FIREARM-POSS W/FEL CONV'],['Felony Circuit Court'],Ineligible,
722,CR.10.612,['ANIMAL-ABANDON'],['Misdemeanor' nan],Ineligible,
727,PS.5.142.(a),['FIREARM: ALTER ETC ID NUMBER' 'Firearm: Alter Etc Id Number'],['Misdemeanor'],Ineligible,
736,1-1106,['REG FIREARM:ILLEGAL POSSESSION'],['Misdemeanor'],Ineligible,
737,CR.2.207. (a),['MANSLAUGHTER' 'Manslaughter'],['Felony Circuit Court'],Ineligible,
739,CR.9.405.(a)(3)(i)(ii),['Escape - Second Degree' 'ESCAPE - SECOND DEGREE'],['Misdemeanor' nan],Ineligible,
741,CR.3.205,['INMATE CAUSE CONT W/ BODY FLUI'],['Misdemeanor' nan],Ineligible,
743,27.579B,['PRIV. PL.-PRURIENT INTENT'],['Misdemeanor'],Ineligible,
744,27.442,"['REG FIREARM: FALSE APP/PURCH'
 'Regulated Firearm: False Application To Purchase']",['Misdemeanor'],Ineligible,
745,CR.9.305,"['INTIMIDATE/INFLUENCE JUROR' 'Intimidate/Influence/Impede Juror'
 'Intimidating a witness' 'Intimidating a Witness']",['Misdemeanor' 'Converted Degree'],Ineligible,
747,CR.7.113.(a)(1),"['EMBEZZLE MISAPPROPRIATE' 'Breach of Fudiciary Duty'
 'Embezzle Misappropriate']",['Misdemeanor' nan],Ineligible,
751,CR.10.303,['RACE/RELIG HARAS: PERSON'],['Misdemeanor'],Ineligible,
752,27.419B,['Possess Child Pornography' 'POSSESS CHILD PORNOGRAPHY'],['Misdemeanor'],Ineligible,
753,CR -5-621 -B-2 - -,['CDS:DISTR ETC W/FIREARM (CJIS 1_0487)'],['Felony Circuit Court'],Ineligible,
754,1-5202,['DEADLY WEAPON-CONCEAL'],['Misdemeanor'],Ineligible,
757,27 -291A - - -,['CDS-POSS OF FIREARMS (CJIS 1 0692)'],['Felony Circuit Court'],Ineligible,
762,3-202,['Assault 1st Degree(3-202)'],['Felony Circuit Court'],Ineligible,
763,27.59(b),['ANIMAL CRUEL FAIL: PROVIDE'],['Misdemeanor'],Ineligible,
766,CP.5.213.1 (3),['VIOL REL COND-PERS ELIG RELIEF'],['Misdemeanor'],Ineligible,
767,27 -464 - - -,['SEX OFFENSE FIRST DEGREE (CJIS 2 1102)'],['Felony Circuit Court'],Ineligible,
771,27.59 (b),['ANIMAL CRUELTY'],['Misdemeanor'],Ineligible,
774,2-3090,['ROGUE AND VAGABOND'],['Misdemeanor'],Ineligible,
776,27.386,"['MAIM, STAB W/INTENT TO' 'MAIM:ASSAULT & BEAT W/INT TO'
 'MAIM ASSLT & BEAT W/INT TO' 'Maim:Aslt & Beat W/Int. To']",['Felony Circuit Court'],Ineligible,
781,27.442.(d),['FIREARM/SALE/PERSON'],['Misdemeanor'],Ineligible,
785,CJ.3.828,"['CONTRIBUTE RENDERING CINA'
 'Contribute to Condition of Child / Delinquent, Etc.'
 'Contribute Rendering Child In Need Of Assistance']",['Misdemeanor'],Ineligible,
786,CP.5.213.1 (2),['VIOL REL COND -CRIME VIOL'],['Misdemeanor'],Ineligible,
800,CR.3.211.(c),['Life Threatening Injury/Vehicle-Boat/Under Influ'],['Misdemeanor'],Ineligible,
811,CR.3.902.(c)(2),['VIS SURV - PRIVATE AREA'],[nan 'Misdemeanor'],Ineligible,
812,27.139,['ESCAPE FROM CONFINEMENT-GEN' 'Escape From Confinement-Gen'],['Felony Circuit Court'],Ineligible,
818,27.291A,['Possession Of Firearms' 'Possession Of Firearms After Conviction/Felony'],['Felony Circuit Court'],Ineligible,
823,PS.5.106,['Reg Firearm:Sale W/O License' 'REG FIREARM:SALE W/O LICENSE'],['Misdemeanor'],Ineligible,
841,CR.14.104,['CRIME OF VIOL-PREGNANT PERS'],['Felony Circuit Court'],Ineligible,
844,PS.5.138 &amp; 5.143,['Regulated Firearm Stolen - Possess/Sell/Transfer/Dispose O'],['Misdemeanor'],Ineligible,
852,27.435,['Perjury: Witness In Court' 'Perjury/Affidavit Req by Law'],['Misdemeanor'],Ineligible,
854,CR.8.209(a),['FLS CRD CD:CHG GD $100-<1500'],['Misdemeanor'],Ineligible,
860,2-0254,['VIOLATE EXPARTE/PROT ORDER'],['Misdemeanor'],Ineligible,
861,27.445,['Regulated Firearm:Illegal Possession'],['Misdemeanor'],Ineligible,
870,10-201(c)(2),['Disorderly Conduct(10-201(c)(2))'],['Misdemeanor'],Ineligible,
876,27.388B.(b),['LIFE THRT INJ/VEH-BOAT/INTOX'],['Misdemeanor'],Ineligible,
878,CR.9.302.(a)(b),['Induce/Inhibit Testimony' 'INDUCE/INHIBIT TESTIMONY'],['Misdemeanor'],Ineligible,
881,CR.3.601.(b)(c),['Child Abuse: Parent' 'Child Abuse:Custodian'],['Felony Circuit Court'],Ineligible,
882,CR.11.203.(b)(1),['DISPLAY OBSCENE MAT TO MINOR' 'Display Obscene Mat To Minor'],['Misdemeanor'],Ineligible,
886,27.389,['MAN SERIAL#: REMOV/OBLIT' 'MAN SERIAL# RETAIN ITEM'],['Misdemeanor'],Ineligible,
887,CR.9.404.(i)(ii),['Escape - First Degree'],['Felony Circuit Court'],Ineligible,
891,BR.16.5.212.(a),['OTHER TOBACCO W/O LICENSE'],['Misdemeanor'],Ineligible,
892,CR.9.804.(1)(2),['Gang -Association/Participation'],['Felony Circuit Court'],Ineligible,
894,CR.4.404,['Machine Gun-Use For Crime'],['Felony Circuit Court'],Ineligible,
903,CR.4.503.(a)(1),['Destructive Device Manufacture/Possess/Distribute'],['Felony Circuit Court'],Ineligible,
907,BR.17.1006.(a)(1),['NO JUNK DEAL/SCRAP MTL LICENSE'],['Misdemeanor'],Ineligible,
911,CR.7.202,['APPROP PROP - W/O CONSENT'],['Misdemeanor'],Ineligible,
912,HG.18.601.1,['TRANSFER HIV TO ANOTHER'],['Misdemeanor'],Ineligible,
915,27.6,['ANIMAL-ABANDON'],['Misdemeanor'],Ineligible,
920,CR.8.301(e),['POSS RE-ENCODR/SKIM DEV'],['Misdemeanor'],Ineligible,
922,CR 9-302(b),['SOL-INDUCE/INHIBIT TESTIMONY'],['Misdemeanor'],Ineligible,
927,CR.4.101,['Deadly Weapon: Wear And Carry With Intent To Injure'],['Misdemeanor'],Ineligible,
930,CR -5-622 - - -,['CDS-POSS OF FIREARMS (CJIS 1_0692)'],['Felony Circuit Court'],Ineligible,
933,CL056,['Con: Armed Robbery(CL056)'],['Misdemeanor'],Ineligible,
936,BR.17.20A.5,['CONDUCT BUS-NO DISPLAY LIC'],['Misdemeanor'],Ineligible,
938,CR.11.207.(a)(5),"['CHILD PORN COMPUTERS'
 'Child Pornorgraphy:Computers-Compile/Enter/Transmit/Make/Etc']",['Felony Circuit Court' nan],Ineligible,
949,1-0191,['HARASS; A COURSE OF CONDUCT'],['Misdemeanor'],Ineligible,
952,27.762,['RETALIATION FOR TESTIMONY'],['Misdemeanor'],Ineligible,
953,CR.3.705.(a)(1),['Verbal Extortion/Threat Crime'],['Misdemeanor'],Ineligible,
956,27.387,['Manslaughter'],['Felony Circuit Court'],Ineligible,
959,27.35D,"['Abuse/Neglect Of A Vulnerable Adult-Custodian'
 'VUL ADULT ABUSE/CUSTODIAN']",['Misdemeanor'],Ineligible,
960,CS.8.803,['INDECENT EXPOSE CORRECTION EMP'],['Misdemeanor' nan],Ineligible,
961,CR.9.804.(b),['Gang - Assoc/Part-Death'],['Felony Circuit Court'],Ineligible,
962,1-0826,['ARMED CARJACKING'],['Felony Circuit Court'],Ineligible,
964,CR.8.509.(1),['Defraud State Health Care'],['Felony Circuit Court'],Ineligible,
970,27 -411 - - -,['MURDER-SECOND DEGREE'],['Felony Circuit Court'],Ineligible,
979,1-0332,"['RECORDING:SELL, ETC.']",['Misdemeanor'],Ineligible,
984,CR.5.701.(d)(2),['PRESCRIP/FALSE LABEL'],['Misdemeanor'],Ineligible,
987,CL031,['Con Robbery(CL031)'],['Misdemeanor'],Ineligible,
988,CR.10.304,['RACE/RELIG HARAS: PERSON'],['Misdemeanor'],Ineligible,
989,CR.8.605.(a)(2),['PASS FORGED PUBLIC DOC.'],[nan 'Felony District Court'],Ineligible,
991,27 -7 - - -,['ARSON 2ND DEGREE CJIS Code: 1 6501' 'ARSON 2ND DEGREE (CJIS 1 6501)'],['Converted Degree' 'Felony Circuit Court'],Ineligible,
993,IN.27.403.(6),['INS-FALSE APPLICATN $300+'],['Felony District Court'],Ineligible,
998,CR.11.303.a1(i)(ii)(,['HUMAN TRAFFICKING-TAKE CAUSE'],['Misdemeanor'],Ineligible,
1011,27.6,['Arson-First Degree'],['Felony Circuit Court'],Ineligible,
1017,27.562B,['EXTORTION:VALUE LESS $500' 'Extortion:Value $500 Plus'],['Misdemeanor' 'Felony Circuit Court'],Ineligible,
1026,27-12A-1,"['ASSAULT, 1ST DEGREE' 'Assault 1st Degree(27-12A-1)']",['Converted Degree' 'Felony Circuit Court'],Ineligible,
1028,CR.11.303.(a)(1)(2),['PANDERING-TAKE CAUSE'],['Misdemeanor'],Ineligible,
1031,CR 3 324,['SEXUAL SOLICITATION OF A MINOR'],['Felony Circuit Court'],Ineligible,
1034,27.419A,"['Child Pornography Film In Sex Act'
 'Child Pornography Promote/Distribute/W/Intent/Possess']",['Felony Circuit Court'],Ineligible,
1035,CR.10.607.(a)(1)(2),['ANIMAL CRUEL: DOG FIGHTING'],['Felony District Court'],Ineligible,
1043,27.36K,['FIREARMS-ACCESS BY MINORS'],['Misdemeanor'],Ineligible,
1044,4-101(c)(2),['Dangerous Weapon Openly w/ Intent Injure(4-101(c)(2))'],['Misdemeanor'],Ineligible,
1051,2B.12.108,['Alc Bev: Sell/Furnish Minr'],['Misdemeanor'],Ineligible,
1054,CR 9-305(a),['INTIMIDATE/INFLUENCE JUROR'],['Misdemeanor'],Ineligible,
1056,3-502,['Kidnap/Adlt/Conceal-Interstate(3-502)'],['Felony Circuit Court'],Ineligible,
1057,CR.3.601.(b)(1)(i),['Child Abuse 1st Degree:Death'],['Felony Circuit Court'],Ineligible,
1066,CR.7.113.(1),['Embezzle Misappropriate'],['Misdemeanor'],Ineligible,
1069,27 -435 - - -,['PERJURY/AFFID REQ BY LAW (CJIS 1 0307)'],['Misdemeanor'],Ineligible,
1078,CR.3.701.(b)(1)(2),"['EXTORTION: VALUE LESS $1,000' 'EXTORTION: VALUE $10K TO <$100']",[nan 'Felony Circuit Court'],Ineligible,
1081,27.337,['KIDNAP/ADULT:INTRASTATE'],['Felony Circuit Court'],Ineligible,
1082,HO.35A.11.(b),['Misrep-Massage Therapists'],['Misdemeanor'],Ineligible,
1084,CS.11.726.(b),['VIOLATE COND OF RELEASE - OTH'],['Misdemeanor'],Ineligible,
1087,CR 9-305(b),['SOLICT INTIMIDATE/INFLUENCE JUROR'],['Misdemeanor'],Ineligible,
1090,BOP.12.601.(a),['PROV PLUMB- W/O LIC'],['Misdemeanor' nan],Ineligible,
1099,CR.9.102,['Perjury: Subornation Of'],['Misdemeanor'],Ineligible,
1101,27 -442 -B - -,['STRAW PURCHASE (CJIS 1 5220)'],['Misdemeanor'],Ineligible,
1104,27 -445 -E - -,['POSS OF FIREARM/AMMO/MINOR (CJIS 1 5285)'],['Misdemeanor'],Ineligible,
1111,1-1102,['RAPE FIRST DEGREE'],['Felony Circuit Court'],Ineligible,
1113,CR.10.606.(a)(3),['HARM/DEATH: LAW ENFOR ANIMAL'],['Felony District Court'],Ineligible,
1118,27.121A,['HARASS; A COURSE OF CONDUCT'],['Misdemeanor'],Ineligible,
1119,EN.9.228.(h),['HAUL SCRAP TIRES W/O LICENSE'],['Misdemeanor'],Ineligible,
1145,2-1010,['ESCAPE - FIRST DEGREE'],['Felony Circuit Court'],Ineligible,
1150,1-6500,['ARSON-FIRST DEGREE'],['Felony Circuit Court'],Ineligible,
1153,PS5-133(b)(1),['Possession of regulated firearm prohibited person has been convicted of a disqualifying crime(PS5-13'],['Misdemeanor'],Ineligible,
1156,PS5-133B,['Reg Firearm Illegal Possession(PS5-133B)'],['Misdemeanor'],Ineligible,
1165,CR.4.503.(a)(2),['POSS EXPL/INCEND W/INTENT' 'Possess Explosive/Incendiary With Intent'],[nan 'Felony Circuit Court'],Ineligible,
1166,CR.3.211.(d),['LIFE THRT INJ/VEH-BOAT/IMPAIRE'],['Misdemeanor'],Ineligible,
1168,CR.3.705.(a)(2),['VERBAL EXTORTION/THRT INJURY' 'Verbal Extortion/Thrt Injury'],[nan 'Felony Circuit Court'],Ineligible,
1169,38A.27,['EXPLOSIVES: NO LICENSE'],['Misdemeanor'],Ineligible,
1173,27 -6 - - -,['ARSON-FIRST DEGREE (CJIS 1 6500)'],['Felony Circuit Court'],Ineligible,
1176,27-464B,['SEXUAL OFFENSE - THIRD DEGREE' 'Sex Offense 3rd Degree(27-464B)'],['Converted Degree' 'Felony Circuit Court'],Ineligible,
1177,CR.7.201.(b)(i),['GROCERY CARTS-REMOVAL'],[nan 'Misdemeanor'],Ineligible,
1185,2-1103,['RAPE SECOND DEGREE'],['Felony Circuit Court'],Ineligible,
1188,27 -59 - - -,['ANIMAL CRUELTY:INFLICT (CJIS 1 0181)'],['Misdemeanor'],Ineligible,
1190,PS.5.144.(a)(1),['REG FIREARM-UNLAWFUL SALE/TRAN'],[nan 'Misdemeanor'],Ineligible,
1205,CR.9.404.(c)(2),['ESCAPE - FIRST DEGREE'],['Felony Circuit Court'],Ineligible,
1215,BR.16.214,['DOING BUSINESS W/O LICENSE'],[nan 'Misdemeanor'],Ineligible,
1216,CR.2.504,['Neg Hmcd-Auto/Boat/While Impaired'],['Felony Circuit Court'],Ineligible,
1223,27.792,['FAIL REGISTER SEX OFFEND' 'RES CHLD SEX OFF/FAIL REG'],[nan 'Misdemeanor'],Ineligible,
1229,27.286C,"['Hire,Solicit,Engage,Use A Minor: Manufacture, Distribute Cds']",['Felony Circuit Court'],Ineligible,
1239,1-3802,['CHILD ABUSE-2ND DEGREE: HOUSE'],['Felony Circuit Court'],Ineligible,
1241,CR -2-209 - - -,['NEG MANSL-AUTO/BOAT ETC (CJIS 1_0909)'],['Felony District Court'],Ineligible,
1254,CR -9-404 -A - -,['ESCAPE-FIRST DEGREE (CJIS 2_1010)'],['Felony Circuit Court'],Ineligible,
1256,CR.10.623.(b)(4),['RESTRAIN DOG - UNSAFE/UNSANIT'],['Misdemeanor'],Ineligible,
519,CR.8.205.(b)(3)(i)(ii),['Transfer/Poss Countrft Cred Card'],['Felony Circuit Court'],Ineligible,
838,CR.8.209(a),['FLS CRD CD:CHG GD $100-<1500' 'FLSE CR CD CHG GD $1500-<25K'],['Misdemeanor' 'Felony District Court'],Ineligible,
840,CR.8.301.(d)(2),['Skim Dev Obt Benefit -$1k-<$10k' 'Skimming Dev Obt Benefit - $500+'],['Felony Circuit Court'],Ineligible,
674,CR.8.301.(e),['Poss Etc. Re-Encoder/Skimming Dev' 'POSS ETC. RE-ENCODER/SKIMMING'],['Misdemeanor'],Ineligible,
1310,CR.8.301(e),['POSS RE-ENCODR/SKIM DEV'],['Misdemeanor'],Ineligible,
988,CR.8.509.(1),['Defraud State Health Care $500+' 'Defraud State Health Care'],['Felony Circuit Court'],Ineligible,
1234,CR.8.522.(b)(2),['DOC USE FAKE GOV ORIGIN'],['Misdemeanor'],Ineligible,
452,CR.8.605.(a)(2),"['PASS FORGED PUBLIC DOC.'
  'Write/Sign & Pass Forged & Counterfeited Public Document']",['Felony Circuit Court' 'Felony District Court'],Ineligible,
1408,CR.8.606.1.(a)(2),['USE FORGE/COUNTERFEIT DOC W/SI'],['Misdemeanor'],Ineligible,
1536,CR.8.701,['EMBEZZLE ETC-WRITINGS ETC'],['Misdemeanor'],Ineligible,
784,CR.9.101.(a)(1),['PERJURY:WITNESS IN COURT' 'Perjury: Witness In Court'],['Misdemeanor'],Ineligible,
514,CR.9.101.(a)(2),['PERJURY/AFFID REQ BY LAW' 'Perjury: Affidavit Required By Law'],['Misdemeanor'],Ineligible,
753,CR.9.101.(a)(4),['PERJURY/AFFID REQD BY GOV' 'Perjury: Affidavit Required By Government'],['Misdemeanor'],Ineligible,
1329,CR.9.101.(c),['Perjury Contrary Statement'],['Misdemeanor'],Ineligible,
600,CR.9.101(2),['Perjury: Affidavit Required By Law' 'PERJURY/AFFID REQ BY LAW'],['Misdemeanor'],Ineligible,
1505,CR.9.102,['PERJURY:SUBORNATION OF'],['Misdemeanor'],Ineligible,
446,CR.9.302.(a),"['INDUCE/INHIBIT TESTIMONY' 'Induce Inhibit Testimony-Felony Off'
  'Induce/Inhibit Testimony' 'INDUCE INHIBIT TESTIMONY-FELON'
  'Induce Inhibit Testimony-Felony Offense'
  'INDUCE INHIBIT TEST-FELONY OFF']",['Misdemeanor' 'Felony Circuit Court'],Ineligible,
652,CR.9.302.(a)(b),"['INDUCE/INHIBIT TESTIMONY' 'Induce/Inhibit Testimony'
  'Induce Inhibit Testimony-Felony Off']",['Misdemeanor' 'Felony Circuit Court'],Ineligible,
1096,CR.9.302.(b),['SOL-INDUCE/INHIBIT TESTIMONY'],['Misdemeanor'],Ineligible,
287,CR.9.303,"['Retaliate-Witness-Felony Off' 'Retaliate-Witness Misdemeanor'
  'RETALIATE-WITNESS MISDEMEANOR' 'Retaliate-Witness' 'RETALIATE-WITNESS'
  'RETALIATE-WITNESS-FELONY OFF']",['Felony Circuit Court' 'Misdemeanor'],Ineligible,
758,CR.9.305,['INTIMIDATE/INFLUENCE JUROR' 'Intimidate/Influence/Impede Juror'],['Misdemeanor'],Ineligible,
301,CR.9.305.(a),"['Intimidate/Influence Juror' 'INTIMIDATE/INFLU JUROR-FELONY OFF'
  'INTIMIDATE/INFLUENCE JUROR' 'Intimidate/Influ Juror-Felony Off'
  'Intimidate/Influence Witness' 'Intimidate/Influ Witness-Felony Off'
  'Intimidate/Influence Juror-Misd' 'INTIMIDATE/INFLUENCE JUROR-MIS'
  'INTIMIDATE/INFLU JUROR-FELONY'
  'Intimidate/Influence Juror-Felony Offense']",['Misdemeanor' 'Felony Circuit Court'],Ineligible,
619,CR.9.305.(b),"['Solicit Intimidate Juror' 'SOLICIT INTIMIDATE JUROR'
  'SOLICIT INTIMIDATE JUROR-FELONY OFF'
  'Solicit Intimidate Juror-Felony Off']",['Misdemeanor' 'Felony Circuit Court'],Ineligible,
584,CR.9.402,['HARBOR/FLEEING FELON' 'Harbor A Fugitive'],['Misdemeanor'],Ineligible,
530,CR.9.402.(c),['HARBOR FELON/FUGITIVE' 'Harbor Felon/Fugitive'],['Misdemeanor'],Ineligible,
861,CR.9.403,['HARBORING-PRISON ESCAPEE' 'Harboring-Prison Escapee'],['Misdemeanor'],Ineligible,
340,CR.9.404.(a),['Escape - First Degree' 'ESCAPE - FIRST DEGREE'],['Felony Circuit Court'],Ineligible,
797,CR.9.404.(b),"['1ST DEG ESCAPE JUV CONFINEMENT PROG'
  '1st Deg Escape Juv Confinement Prog']",['Felony Circuit Court'],Ineligible,
1504,CR.9.404.(c)(2),['ESCAPE - SECOND DEGREE'],['Felony Circuit Court'],Ineligible,
721,CR.9.404.(i)(ii),['Escape - First Degree'],['Felony Circuit Court'],Ineligible,
229,CR.9.405.(a)(1),['Escape - Second Degree' 'ESCAPE - SECOND DEGREE'],['Misdemeanor'],Ineligible,
